antecedents_str,consequents_str,support,confidence,lift
"petal length (cm)_Medium, target_versicolor",petal width (cm)_Medium,0.31333333333333335,0.9791666666666667,2.719907407407408
petal width (cm)_Medium,"petal length (cm)_Medium, target_versicolor",0.31333333333333335,0.8703703703703705,2.7199074074074074
"petal width (cm)_Medium, sepal length (cm)_Medium","petal length (cm)_Medium, target_versicolor",0.22,0.8684210526315789,2.713815789473684
"petal length (cm)_Medium, target_versicolor","petal width (cm)_Medium, sepal length (cm)_Medium",0.22,0.6875,2.713815789473684
"sepal length (cm)_Medium, target_versicolor",petal width (cm)_Medium,0.23333333333333334,0.9722222222222223,2.7006172839506175
petal width (cm)_Medium,"sepal length (cm)_Medium, target_versicolor",0.23333333333333334,0.6481481481481481,2.7006172839506175
"petal length (cm)_High, sepal length (cm)_Medium",petal width (cm)_High,0.16,0.8275862068965517,2.698650674662669
"petal width (cm)_High, sepal length (cm)_Medium, target_virginica",petal length (cm)_High,0.16,0.8275862068965517,2.698650674662669
"petal length (cm)_Medium, sepal length (cm)_Medium, target_versicolor",petal width (cm)_Medium,0.22,0.9705882352941178,2.696078431372549
petal width (cm)_Medium,"petal length (cm)_Medium, sepal length (cm)_Medium, target_versicolor",0.22,0.6111111111111112,2.696078431372549
"sepal width (cm)_Low, target_versicolor",petal length (cm)_Medium,0.17333333333333334,0.962962962962963,2.6748971193415643
"petal width (cm)_Medium, sepal width (cm)_Low, target_versicolor",petal length (cm)_Medium,0.17333333333333334,0.962962962962963,2.6748971193415643
target_versicolor,petal length (cm)_Medium,0.32,0.9600000000000001,2.666666666666667
petal length (cm)_Medium,target_versicolor,0.32,0.888888888888889,2.666666666666667
"petal width (cm)_Medium, target_versicolor",petal length (cm)_Medium,0.31333333333333335,0.9591836734693878,2.664399092970522
petal length (cm)_Medium,"petal width (cm)_Medium, target_versicolor",0.31333333333333335,0.8703703703703705,2.664399092970522
"petal length (cm)_Medium, sepal width (cm)_Low","petal width (cm)_Medium, target_versicolor",0.17333333333333334,0.8666666666666667,2.653061224489796
"sepal length (cm)_Medium, target_versicolor",petal length (cm)_Medium,0.22666666666666666,0.9444444444444444,2.623456790123457
petal length (cm)_Medium,"sepal length (cm)_Medium, target_versicolor",0.22666666666666666,0.6296296296296297,2.623456790123457
"petal width (cm)_Medium, sepal width (cm)_Low","petal length (cm)_Medium, target_versicolor",0.17333333333333334,0.8387096774193549,2.620967741935484
